artist,name
electric wizard,let us prey
electric wizard,let us prey remaster
electric wizard,dopethrone
electric wizard,dopethrone remaster
morbid saint,spectrum of death extended edition
morbid saint,spectrum of death
face to face,protection
face to face,three chords and a half truth
face to face,shoot the moon the essential collection
face to face,how to ruin everything
face to face,standards and practices
face to face,so why arent you happy
face to face,face to face
face to face,big choice
face to face,dont turn away
earth,primitive and deadly
earth,angels of darkness demons of light 2
earth,angels of darkness demons of light ii
earth,angels of darkness demons of light 1
earth,angels of darkness demons of light
earth,a bureaucratic desire for extra capsular extraction
earth,radio
earth,the bees made honey in the lions skull
earth,hibernaculum
earth,hex or printing in the infernal method
earth,dissolution iii
earth,pentastar in the style of demons
earth,phase 3 thrones and dominions
earth,earth 2
cannabis corpse,from wisdom to baked
cannabis corpse,beneath grow lights thou shalt rise
cannabis corpse,tube of the resinated
cannabis corpse,blunted at birth
drudkh,a furrow cut short
drudkh,eastern frontier in flames
drudkh,eternal turn of the wheel
drudkh,handful of stars
drudkh,forgotten legends
drudkh,microcosmos
drudkh,estrangement
drudkh,blood in our wells
drudkh,songs of grief and solitude
drudkh,the swan road
drudkh,autumn aurora
lord dying,poisoned altars
torrential downpour,truth knowledge vision
torrential downpour,connected through
the black dahlia murder,abysmal
the black dahlia murder,everblack
the black dahlia murder,ritual
the black dahlia murder,deflorate
the black dahlia murder,nocturnal
the black dahlia murder,miasma
the black dahlia murder,unhallowed
sumac,the deal
rival schools,found
rival schools,pedals
rival schools,united by fate
goatwhore,constricting rage of the merciless
goatwhore,blood for the master
goatwhore,carving out the eyes of god
goatwhore,a haunting curse
vampire weekend,modern vampires of the city
vampire weekend,contra
vampire weekend,vampire weekend
tephra,tempel
unfun,shores of lake erie
unfun,pain prescription
dark tranquillity,construct
dark tranquillity,we are the void
dark tranquillity,yesterworlds
dark tranquillity,fiction
dark tranquillity,character
dark tranquillity,the minds i
dark tranquillity,exposures in retrospect and denial rarities
dark tranquillity,damage done
dark tranquillity,haven
dark tranquillity,projector
dark tranquillity,the gallery
dark tranquillity,skydancer
dark tranquillity,skydancer of chaos and eternal night
spelljammer,ancient of days
swamp witch,it just feels right
goatsnake,black age blues
goatsnake,i + dog days
goatsnake,1 + dogdays
goatsnake,trampled under hoof
goatsnake,flower of disease
foundation,when the smoke clears
foundation,hang your head
foundation,chimborazo
sons of otis,seismic
sons of otis,exiled
sons of otis,x
sons of otis,songs for worship
cold blue mountain,cold blue mountain
galvano,trail of the serpent
galvano,two titans
pantera,far beyond driven 20th anniversary edition deluxe
pantera,cowboys from hell deluxe
pantera,reinventing the steel
pantera,the great southern trendkill
pantera,far beyond driven
pantera,vulgar display of power us release
pantera,cowboys from hell
elder,lore
elder,dead roots stirring
elder,reflect
elder,elder
hüsker dü,warehouse songs and stories
hüsker dü,candy apple grey
hüsker dü,flip your wig
hüsker dü,new day rising
hüsker dü,zen arcade
hüsker dü,metal circus ep
hatebreed,the divinity of purpose
hatebreed,hatebreed
hatebreed,hatebreed napster exlusive
hatebreed,for the lions
hatebreed,supremacy
hatebreed,the rise of brutality
hatebreed,perseverance uk edition with 1 bonus track
decapitated,blood mantra
decapitated,carnival is forever
decapitated,nihility
decapitated,organic hallucinosis
decapitated,the negation
decapitated,winds of creation
intronaut,the direction of last things
intronaut,habitual levitations instilling words with tones
intronaut,valley of smoke
intronaut,prehistoricisms
intronaut,the challenger
intronaut,void
ghoul,hang ten
ghoul,transmission zero
ghoul,splatterthrash
ghoul,maniaxe
ghoul,we came for the dead
mastodon,once more round the sun
mastodon,the hunter
mastodon,the hunter deluxe
mastodon,crack the skye
mastodon,crack the skye deluxe street date
mastodon,crack the skye intl std preorder
mastodon,call of the mastodon
mastodon,leviathan
mastodon,remission
lazarus blackstar,hymns for the cursed
lazarus blackstar,funeral voyeur
lazarus blackstar,revelations
desaparecidos,payola
desaparecidos,read musicspeak spanish
modern baseball,mobo presents the perfect cast ep feat modern baseball
modern baseball,youre gonna miss it all
modern baseball,sports
slayer,repentless
slayer,world painted blood
slayer,soundtrack to the apocalypse
slayer,god hates us all
slayer,diabolus in musica
slayer,undisputed attitude
slayer,divine intervention
witch mountain,mobile of angels
witch mountain,cauldron of the wild
witch mountain,south of salem
neurosis,honor found in decay
neurosis,given to the rising
neurosis,the eye of every storm
neurosis,neurosis jarboe
neurosis,official bootleg02stockholmsweden101599
neurosis,official bootleg01lyonfrance110299
neurosis,a sun that never sets
neurosis,sovereign
neurosis,times of grace
neurosis,through silver in blood
neurosis,enemy of the sun
neurosis,souls at zero
behemoth,thy winter kingdom + from the pagan vastlands
behemoth,the satanist
behemoth,abyssus abyssum invocat
behemoth,evangelia heretika the new gospel
behemoth,evangelion
behemoth,ezkaton
freya,paragon of the crucible
freya,all hail the end
freya,lift the curse
freya,as the last light drains
streetlight manifesto,the hands that thieve
streetlight manifesto,99 songs of revolution
streetlight manifesto,somewhere in the between
streetlight manifesto,keasby nights
streetlight manifesto,everything goes numb
old man gloom,the ape of god i
old man gloom,the ape of god ii
old man gloom,no
old man gloom,meditations in b
the great old ones,tekelili
the great old ones,al azif
holy serpent,holy serpent
the body,no one deserves happiness
the body,released from love you whom i have always hated
the body,split lp
the body,i shall die here
the body,christs redeemers
the body,ii
the body,the body
the body,all the waters of the earth turn to blood
derketa,in death we meet
megadeth,dystopia
megadeth,super collider
megadeth,countdown to extinction deluxe edition
megadeth,th1rt3en
megadeth,endgame
megadeth,warchest
megadeth,united abominations
megadeth,the system has failed
red mountains,down with the sun
oozing wound,earth suck
oozing wound,retrash
high on fire,luminiferous
high on fire,the art of self defense
high on fire,de vermis mysteriis
high on fire,snakes for the divine
high on fire,death is this communion
high on fire,blessed black wings
high on fire,surrounded by thieves
romero,mick y mick
romero,todo de mi
romero,take the potion
romero,romero born again
romero,the awakening
romero,harmonize
romero,cascade
romero,hustle hard never give up
romero,ear candy
romero,romero presents ear candy
romero,un milagro
romero,monte carlo nights vol 2
romero,batacuda
romero,romero
romero,aaaahhhlately
romero,duende
romero,pulse
romero,monte carlo nights
romero,un segundo una vida
yob,clearing the path to ascend
yob,catharsis
yob,atma
year of no light,vampyr original motion picture soundtrack
year of no light,nord deluxe edition
year of no light,year of no light thisquietarmy
year of no light,year of no light ausserwelt
cough,ritual abuse
cough,sigillum luciferi
ringworm,stigmatas in the flesh
ringworm,split
ringworm,scars
ringworm,the venomous grand design
ringworm,lindsay lohan raw
ringworm,lindsay lohan iv zoso
ringworm,justice replaced by revenge
ringworm,the promise
ringworm,birth is pain
ringworm,madness of war demo
abominable iron sloth,abominable iron sloth
bongzilla,stashmethods of attainment
bongzilla,apogee
bongzilla,amerijuanican
bongzilla,gateway
bomb the music industry,adults smart shithammered and excited by nothing
bomb the music industry,vacation
bomb the music industry,split
bomb the music industry,scrambles
bomb the music industry,get warmer
bomb the music industry,goodbye cool world
bomb the music industry,album minus band
bomb the music industry,to leave or die in long island
no trigger,tycoon
no trigger,extinction in stereo
no trigger,canyoneer
catch 22,permanent revolution
catch 22,dinosaur sounds
catch 22,washed up and through the ringer
catch 22,alone in a crowd
catch 22,keasbey nights
modest mouse,strangers to ourselves
modest mouse,we were dead before the ship even sank
modest mouse,baron von bullshit rides again
modest mouse,good news for people who love bad news
modest mouse,sad sappy sucker
modest mouse,the moon antarctica
modest mouse,building nothing out of something
modest mouse,the lonesome crowded west
modest mouse,this is a long drive for someone with nothing to think about
disembodied,psalms of sheol
disembodied,diablerie
less than jake,see the light
less than jake,greeting salutations
less than jake,greetings salutations
less than jake,gnv fla
less than jake,goodbye blue and white
less than jake,in with the out crowd
less than jake,b is for bsides
less than jake,anthem
less than jake,goodbye blue white
less than jake,greased
less than jake,borders boundaries
skeletonwitch,serpents unleashed
skeletonwitch,forever abomination
skeletonwitch,breathing the fire
skeletonwitch,beyond the permafrost
first aid kit,stay gold
first aid kit,the lions roar
first aid kit,the big black and the blue
first aid kit,drunken trees ep
first aid kit,drunken trees
necrophagist,epitaph
necrophagist,onset of putrefaction
defiance ohio,midwestern minutes
defiance ohio,the great depression
defiance ohio,share what ya got
testament,dark roots of thrash
testament,dark roots of earth
testament,the formation of damnation
testament,the very best of testament
testament,first strike still deadly
testament,the gathering
testament,demonic
grave,out of respect for the dead
grave,necropsy the complete demo recordings 19861991
grave,endless procession of souls
grave,burial ground
grave,dominion vii
grave,dominion viii
grave,exhumed a grave collection
grave,as rapture comes
grave,fiendish regression
grave,back from the grave
grave,into the grave tremendous pain ep
grave,soulless hating life
grave,soulless rerelease + bonus
grave,youll never seeand here i diesatisfied ep
title fight,hyperview
title fight,floral green
title fight,shed
title fight,the last thing you forget
dying fetus,reign supreme
dying fetus,history repeats
dying fetus,infatuation with malevolence
dying fetus,purification through violence
dying fetus,descend into depravity
dying fetus,war of attrition
dying fetus,stop at nothing
dying fetus,destroy the opposition
dying fetus,grotesque impalement
dying fetus,killing on adrenaline
blood ceremony,the eldritch dark
blood ceremony,living with the ancients
blood ceremony,blood ceremony
sadus,out for blood
sadus,elements of anger
sadus,chemical exposure
deicide,in the minds of evil
deicide,to hell with god
deicide,till death do us part
deicide,the stench of redemption
deicide,scars of the crucifix
deicide,in torment in hell
deicide,insineratehymn
deicide,when satan lives
deicide,serpents of the light
deicide,once upon the cross
deicide,legion
samsara blues experiment,revelation mystery
samsara blues experiment,long distance trip
psycroptic,psycroptic
psycroptic,the inherited repression
psycroptic,observant
psycroptic,symbols of failure
psycroptic,the scepter of the ancients
psycroptic,the sceptor of the ancients
psycroptic,the isle of disenchantment
horn of the rhino,breed the chosen one
horn of the rhino,summoning deliverance
horn of the rhino,weight of coronation
horn of the rhino,grengus
satans satyrs,dont deliver us
satans satyrs,die screaming
satans satyrs,wild beyond belief
old gods,stylized violence
old gods,old gods
the falcon,gather up the chaps
the falcon,unicornography
huata,atavist of mann
huata,open the gates of shambhala
the broadways,broken van
the broadways,broken star
summoner,atlantian
summoner,phoenix
summoner,unknown
summoner,elohim de arcana
sunn 0,kannon
sunn 0,soused
sunn 0,monoliths and dimensions
sunn 0,domkirke
sunn 0,altar
sunn 0,black one
sunn 0,grimm robe demos
sunn 0,white 2
sunn 0,white 1
sunn 0,flight of the behemoth
asphyx,deathhammer
asphyx,depths of eternity
asphyx,deaththe brutal way
asphyx,on the wings of inferno
asphyx,embrace the death
asphyx,god cries
asphyx,asphyx
asphyx,last one on earth
asphyx,the rack
grief,dismal
grief,turbulent times
grief,come to grief
khann,erode
khann,tofutopia
mother crone,awakening
entombed,serpent saints the ten amendments
entombed,serpent saints
entombed,unreal estate
entombed,inferno
entombed,morning star
entombed,uprising
entombed,monkey puss
entombed,same difference
entombed,dclxvi to ride shoot straight and speak the truth
entombed,entombed
entombed,to ride shoot straight and speak the truth
entombed,wolverine blues
entombed,wolverine blues full dynamic range edition
entombed,hollowman
entombed,hollowman full dynamic range edition
entombed,clandestine
rwake,xenoglossalgia the last stage of awareness
rwake,rest
rwake,voices of omens
rwake,if you walk before you crawl you crawl before you die
rwake,hell is a door to the sun
vader,future of the past
vader,future of the past ii hell in the east
vader,morbid reich
vader,death metal three amorphis vader children of bodom
vader,tibi et igni
vader,black to the blind
vader,sothis
vader,welcome to the morbid reich
vader,necropolis
slomatics,flooding the weir
slomatics,kalceanna
slomatics,estron
slomatics,a hocht
slomatics,conan vs slomatics
isis,celestial 2013 remaster
isis,temporal
isis,wavering radiant
isis,in the absence of truth
isis,oceanic remixesreinterpretations
isis,panopticon
isis,oceanic
barn owl,v
barn owl,lost in the glare
barn owl,shadowland
barn owl,ancestral star
barn owl,from our mouths a perpetual light
metallica,metallica through the never music from the motion picture
metallica,death magnetic
metallica,and justice for all
metallica,st anger
metallica,sm
metallica,garage inc
metallica,reload
metallica,load
metallica,metallica
metallica,master of puppets
metallica,ride the lightning
metallica,kill em all
pallbearer,foundations of burden
pallbearer,sorrow and extinction
moonless,calling all demons
all out war,dying gods
all out war,truth in the age of lies
all out war,into the killing fields
all out war,assassins in the house of god
all out war,condemned to suffer
all out war,for those who were crucified
morbid angel,illud divinum insanus
morbid angel,heretic
morbid angel,gateways to anihilation
morbid angel,formulas fatal to the flesh
morbid angel,entangled in chaos
morbid angel,domination
morbid angel,covenant full dynamic range edition
morbid angel,covenant
morbid angel,abominations of desolation
morbid angel,blessed are the sick
morbid angel,altars of madness
morbid angel,juvenilia
16,deep cuts from dark clouds
16,blaze of incompetence
16,the first trimester
16,curves that kick
16,bridges to burn
16,zoloft smile
16,drop out
anguish,mountain jewel
anguish,through the archdemons head
gurt,horrendosaurus
demon lung,a dracula
demon lung,the hundredth name
demon lung,pareidolia
kreator,dying alive
kreator,phantom antichrist
kreator,hordes of chaos
kreator,outcast cause for conflict
kreator,tribute to kreator
kreator,19851992 past life trauma
kreator,terrible certainty
kreator,terrible certainty bonus track edition
kreator,endorama
kreator,outcast
eyehategod,eyehategod
eyehategod,preaching the endtime message
eyehategod,confederacy of ruined lives
eyehategod,southern discomfort demos rarities
eyehategod,dopesick
fallujah,the flesh prevails
fallujah,the harvest wombs
bolt thrower,those once loyal
bolt thrower,honour valour pride
bolt thrower,mercenary
bolt thrower,who dares wins
bolt thrower,for victory
bolt thrower,the ivth crusade
bolt thrower,war master
bolt thrower,realm of chaos
bolt thrower,realm of chaos full dynamic range edition
suma,orientation
beyond creation,earthborn evolution
beyond creation,the aura
mournful congregation,concrescence of the sophia
mournful congregation,tears from a grieving heart
mournful congregation,the book of kings
mournful congregation,the june frost
the holy mess,comfort in the discord
the holy mess,cande ru las degas
the holy mess,the holy mess
lamb of god,vii sturm und drang
lamb of god,vii sturm und drang deluxe
lamb of god,as the palaces burn 10th anniversary edition
lamb of god,resolution exclusive edition
lamb of god,resolution
lamb of god,wrath
lamb of god,sacrament
lamb of god,killadelphia
lamb of god,ashes of the wake
lamb of god,as the palaces burn
baroness,purple
baroness,yellow green
baroness,blue record
baroness,the red album
baroness,a grey sigh in a flower husk
integrity,den of iniquity
integrity,humanity is the devil
integrity,appreciation
integrity,suicide black snake
integrity,kingdom of heaven the araca sessions
integrity,darkness march of the damned
integrity,the blackest curse
integrity,palm sunday
integrity,to die for
integrity,in contrast of tomorrow
integrity,closure
integrity,integrity 2000
integrity,seasons in the size of days
integrity,systems overload
integrity,systems overload a2orr mix
chtheilist,le dernier crépuscule
pulling teeth,funerary
pulling teeth,paranoid delusions | paradise illusions deluxe edition
pulling teeth,martyr immortal deluxe edition
pulling teeth,split
pulling teeth,vicious skin
dismember,dismember
dismember,the god that never was
dismember,death metal
dismember,where ironcrosses grow
dismember,pieces
dismember,hate campaign
dismember,massive killing capacity
dismember,indecent and obscene
dismember,indecent obscene
dismember,like an everflowing stream
vektor,outer isolation
vektor,black future
vektor,the story of vektor
dirge,hyperion
dirge,elysian magnetic field
dirge,wings of lead over dormant seas
pelican,arktika
pelican,forever becoming
pelican,what we all come to need
pelican,city of echoes
pelican,fire in our throats will beckon the thaw
pelican,the fire in our throats will beckon the thaw
pelican,march into the sea ep
pelican,australasia
rosetta,city of ships rosetta
rosetta,a determinism of morality
rosetta,three way split w east of the wall year of no light
rosetta,wakelift
rosetta,the galilean satellites
bong,beyond ancient space
bong,stoner rock
bong,selftitled
bong,bong
bong,manayoodsushai
serpent throne,brother lucifer
bloodsucking zombies from outer space,mörder blues 2
bloodsucking zombies from outer space,toxic terror trax
bloodsucking zombies from outer space,decade of decay the gravest hits of bzfos
bloodsucking zombies from outer space,mörder blues
annihilator,suicide society
annihilator,suicide society deluxe edition
annihilator,feast
annihilator,all for you
annihilator,schizo deluxe
annihilator,annihilator
annihilator,criteria for a black widow
annihilator,king of the kill
annihilator,remains
annihilator,waking the fury
annihilator,metal
annihilator,the best of annihilator
annihilator,carnival diablos
amenra,afterlife
amenra,mass i
amenra,mass ii
amenra,mass iii
amenra,mass iiii
overkill,white devil armory
overkill,the electric age deluxe edition
overkill,the electric age tour edition
overkill,the electric age ltd tour edition
overkill,the electric age
overkill,ironbound
asva,empires should burn
asva,futurists against the ocean
seven nautical miles,every ocean reversed
acid king,the early years
acid king,iii
acid king,busse woods
acid king,zoroaster
obituary,frozen in time
obituary,dead
obituary,back from the dead
pyramido,saga
pyramido,split
pyramido,salt
lemuria,the distance is so big
lemuria,pebble
lemuria,the first collection 20052006
lemuria,get better
harvey milk,a small turn of human kindness
harvey milk,harvey milk
harvey milk,lifethe best game in town
harvey milk,special wishes
harvey milk,harvey milk the singles
harvey milk,my love is higher than your assessment of what my love could be
toxic holocaust,chemistry of consciousness
toxic holocaust,from the ashes of nuclear destruction
toxic holocaust,conjure and command
toxic holocaust,hell on earth
toxic holocaust,evil never dies
toxic holocaust,an overdose of death
the lawrence arms,metropole deluxe edition
the lawrence arms,oh calcutta
the lawrence arms,cocktails dreams
the lawrence arms,the greatest story ever told
the lawrence arms,apathy and exhaustion
the lawrence arms,present day memories
the lawrence arms,ghost stories
the lawrence arms,a guided tour of chicago
maeth,oceans into ashes
cormorant,earth diver
cormorant,dwellings
cormorant,metazoa
graveyard,innocence decadence
graveyard,lights out
graveyard,hisingen blues
graveyard,graveyard
floor,oblation deluxe
floor,oblation
floor,below beyond
floor,dove
floor,fuck you for now
floor,its not the same
floor,riddim of silence
floor,saturnine and tears
floor,selftitled + outtakes
floor,personnel
floor,free range
hobbs angel of death,hobbs angel of death
hobbs angel of death,hobbs satans crusade
the sword,high country
the sword,apocryphon
the sword,warp riders
the sword,gods of the earth
the sword,age of winters
pentagram,curious volume
pentagram,last rites
pentagram,first daze here too
pentagram,show em how
pentagram,a keg full of dynamite
pentagram,turn to stone
pentagram,first daze here
pentagram,subbasement
pentagram,review your choices
pentagram,be forewarned
most precious blood,do not resuscitate
most precious blood,merciless
most precious blood,our lady of annihilation
most precious blood,nothing in vain
ufomammut,ecate
ufomammut,oro opus primum
ufomammut,idolum standard edition
ufomammut,supernaturals record one standard edition
ufomammut,lucifer songs standard edition
ufomammut,snailking
conan,revengeance
conan,blood eagle
conan,monnos
conan,conan vs slomatics
conan,horseback battle hammer
black cobra,imperium simulacra
black cobra,invernal
black cobra,chronomega
black cobra,feather and stone
black cobra,bestial
saviours,palace of vision
saviours,deaths procession
saviours,accelerated living
saviours,into abaddon
black tusk,pillars of ash
black tusk,tend no wounds
black tusk,set the dial
black tusk,the fallen kingdom
zoroaster,matador
weedeater,goliathan
weedeater,and justice for yall
weedeater,jason the dragon
weedeater,god luck and good speed
weedeater,sixteen tons
sleep,the hw bush clinton era
sleep,lockland 95
sleep,cash out or pass out
sleep,wolf in sleeps clothing
sleep,sativas secret comadose
sleep,cod book one good cousin
sleep,back to square one again 8991
sleep,the evening agenda
big business,battlefields forever
big business,mind the drift
big business,here come the waterworks
big business,head for the shallow
hailhornet,hail hornet
buzzoven,revelation sick again
buzzoven,violence from the vault
buzzoven,at a loss
buzzoven,sore
the fucking wrath,valley of the serpents soul
iron monkey,our problem
iron monkey,iron monkey
jucifer,district of dystopia
jucifer,за волгой для нас земли нет
jucifer,throned in blood
jucifer,lautrichienne
jucifer,if thine enemy hunger
jucifer,war bird
jucifer,i name you destroyer
jucifer,the lambs ep
jucifer,calling all cars on the vegas strip
lair of the minotaur,evil power
lair of the minotaur,war metal battle masters
lair of the minotaur,ultimate destroyer
lair of the minotaur,carnage
church of misery,and then there were none
church of misery,thy kingdom scum
church of misery,early works compilation
church of misery,the second coming
church of misery,houses of the unholy
olde growth,olde growth
ramesses,chrome pineal
ramesses,possessed by the rise of magik
ramesses,take the curse
ramesses,misanthropic alchemy
ramesses,we will lead you to glorious times
ramesses,the tomb
bloodhorse,horizoner
bloodhorse,untitled
demonic death judge,skygods
demonic death judge,the descent
eagle twin,the feather tipped the serpents scale
eagle twin,the unkindness of crows
heavy lord,balls to all
heavy lord,from cosmos to chaos
heavy lord,chained to the world
heavy lord,the holy grail
kalas,kalas
cavity,hip blues
cavity,laid insignificant
cavity,miscellaneous recollections 9297
cavity,on the lam
cavity,supercollider
black sleep of kali,our slow decay
herder,gods
herder,horror vacui
herder,herder
danava,hemisphere of shadows
danava,unonou
lecherous gaze,zeta reticuli blues
lecherous gaze,on the skids
lecherous gaze,bagagazo
ruby the hatchet,valley of the snake
ruby the hatchet,ouroboros
golden void,berkana
golden void,golden void
earthless,from the ages
earthless,rhythms from a cosmic sky
the shrine,rare breed
the shrine,bless off
the shrine,primitive blast
the shrine,the shrine
uncle acid  the deadbeats,the night creeper
uncle acid  the deadbeats,mind control
uncle acid  the deadbeats,blood lust
freedom hawk,into your mind
freedom hawk,holding on
freedom hawk,freedom hawk
freedom hawk,sunlight
mars red sky,apex iii praise for the burning soul
mars red sky,stranded in arcadia
mars red sky,mars red sky
bedemon,symphony of shadows
bedemon,child of darkness
wino,freedom conspiracy
wino,punctuated equilibrium
wino,a bottle of pills with a bullet chaser
royal thunder,cvi
royal thunder,royal thunder
purple hill witch,purple hill witch
spirit caravan,the last embrace
kadavar,berlin
kadavar,abra kadavar
kadavar,kadavar
mountain witch,burning village
mountain witch,cold river
iron claw,a different game
iron claw,iron claw
path of resistance,cant stop the truth
path of resistance,who dareswins
morning again,hand of the martyr
morning again,as tradition dies slowly
strife,witness a rebirth
strife,angermeans
strife,truth through defiance
strife,in this defiance
strife,one truth
one king down,gravity wins again ep
one king down,god loves man kills
one king down,bloodlust revenge
sworn enemy,living on borrowed time
sworn enemy,total world domination
sworn enemy,maniacal
sworn enemy,the beginning of the end
sworn enemy,as real as it gets
25 ta life,forever true represent
25 ta life,fallen angel
25 ta life,early dayz
25 ta life,strength integrity brotherhood
25 ta life,best of friendsenemies
25 ta life,hellbound misery torment
25 ta life,haterz be damned new old rare
25 ta life,friendship loyalty commitment
25 ta life,strength through unity
shutdown,few and far between
shutdown,against all odds
108,1861
108,a new beat from a dead heart
108,creation sustenance destruction
108,songs of separation
merauder,god is i
merauder,bluetality
merauder,five deadly venoms
merauder,master killer
snapcase,bright flashes
snapcase,end transmission
snapcase,designs for automotion
snapcase,progression through unlearning
snapcase,lookingglasself
buried alive,welcome to reality
buried alive,last rites
buried alive,death of your perfect world
buried alive,spoils of war
full blown chaos,heavy lies the crown
madball,hardcore lives
madball,empire
madball,infiltrate the system
madball,legacy
madball,nyhc
madball,hold it down
madball,look my way
madball,demonstrating my style
madball,set it off
undying,the whispered lies of angels
terror,the 25th hour
terror,one with the underdogs
terror,no regrets no shame
terror,no regrets no shame the bridge nine days
terror,keepers of the faith
terror,the damned the shamed
terror,always the hard way
terror,lowest of the low
sick of it all,last act of defiance
sick of it all,nonstop
sick of it all,based on a true story
sick of it all,death to tyrants
sick of it all,outtakes for the outcast
sick of it all,life on the ropes
sick of it all,yours truly
sick of it all,call to arms
sick of it all,built to last
sick of it all,dragon power
sick of it all,scratch the surface
sick of it all,just look around
sick of it all,blood sweat no tears
sick of it all,sick of it all
immolation,shadows in the light
immolation,kingdom of conspiracy
immolation,majesty and decay
immolation,harnessing ruin
immolation,unholy cult
cryptopsy,the best of us bleed
cryptopsy,cryptopsy
cryptopsy,the unspoken king
cryptopsy,ungentle exhumation
cryptopsy,once was not
cryptopsy,and then youll beg
cryptopsy,whisper supremacy
cryptopsy,none so vile
cryptopsy,blasphemy made flesh
nile,what should not be unearthed
nile,at the gate of sethu
nile,those whom the gods detest
nile,ithyphallic
nile,annihilation of the wicked
nile,in their darkened shrines
nile,black seeds of vengence
hate eternal,infernus
hate eternal,phoenix amongst the ashes
hate eternal,fury flames
hate eternal,i monarch
hate eternal,king of all kings
hate eternal,conquering the throne
vital remains,dawn of the apocalypse
vital remains,icons of evil
vital remains,horrors of hell
vital remains,into cold darkness
vital remains,dechristianize
vital remains,let us pray
origin,omnipresent
origin,entity
origin,antithesis
origin,echoes of decimation
origin,informis infinitas inhumanitas
origin,origin
skinless,only the ruthless remain
skinless,trample the weak hurdle the dead
skinless,from sacrifice to survival
skinless,foreshadowing our demise
skinless,progression towards evil
cannibal corpse,a skeletal domain
cannibal corpse,torturing and eviscerating
cannibal corpse,torture
cannibal corpse,global evisceration
cannibal corpse,evisceration plague
cannibal corpse,vile expanded edition
cannibal corpse,kill
cannibal corpse,the wretched spawn
cannibal corpse,gore obsessed
cannibal corpse,worm infested
cannibal corpse,bloodthirst
cannibal corpse,gallery of suicide
cannibal corpse,vile
cannibal corpse,tomb of the mutilated
cannibal corpse,butchered at birth
cannibal corpse,eaten back to life
benighted,brutalive the sick
benighted,carnivore sublime
benighted,asylum cave
benighted,insane cephalic production
benighted,identisick
benighted,icon
misery index,the killing gods
misery index,the killing gods deluxe edition
misery index,heirs to thievery
misery index,pulling out the nails
misery index,traitors
misery index,dead sam walking
misery index,discordia
misery index,retaliate
cephalic carnage,misled by certainty
cephalic carnage,xenosapien
cephalic carnage,anomalies
cephalic carnage,exploiting dysfuntion
cephalic carnage,conforming to abnormality
aborted,the necrotic manifesto
aborted,goremageddon the saw and the carnage done
aborted,strychnine213
aborted,slaughter apparatus a methodical overture
aborted,the archaic abattoir
aborted,the archaïc abattoir
aborted,the haematobic ep
aborted,engineering the dead
aborted,engineering the dead rerelease 
deeds of flesh,portals to canaan
deeds of flesh,trading pieces
deeds of flesh,of whats to come
deeds of flesh,crown of souls
deeds of flesh,reduced to ashes
deeds of flesh,mark of the legion
deeds of flesh,path of the weakening
deeds of flesh,inbreeding the anthropophagi
krisiun,forged in fury
krisiun,arise from blackness
krisiun,the great execution
