artist,name
earth,angels of darkness demons of light 1
earth,angels of darkness demons of light
earth,a bureaucratic desire for extra capsular extraction
earth,radio
earth,the bees made honey in the lions skull
earth,hibernaculum
earth,hex or printing in the infernal method
earth,dissolution iii
earth,pentastar in the style of demons
earth,phase 3 thrones and dominions
earth,earth 2
drudkh,a furrow cut short
drudkh,eastern frontier in flames
drudkh,eternal turn of the wheel
drudkh,handful of stars
drudkh,forgotten legends
drudkh,microcosmos
drudkh,estrangement
drudkh,blood in our wells
drudkh,songs of grief and solitude
drudkh,the swan road
drudkh,autumn aurora
lord dying,poisoned altars
torrential downpour,truth knowledge vision
torrential downpour,connected through
the black dahlia murder,abysmal
the black dahlia murder,everblack
the black dahlia murder,ritual
the black dahlia murder,deflorate
the black dahlia murder,nocturnal
the black dahlia murder,miasma
the black dahlia murder,unhallowed
goatwhore,constricting rage of the merciless
goatwhore,blood for the master
goatwhore,carving out the eyes of god
goatwhore,a haunting curse
unfun,shores of lake erie
unfun,pain prescription
dark tranquillity,construct
dark tranquillity,we are the void
dark tranquillity,where death is most alive
dark tranquillity,yesterworlds
dark tranquillity,fiction
dark tranquillity,character
dark tranquillity,the minds i
dark tranquillity,exposures in retrospect and denial rarities
dark tranquillity,damage done
dark tranquillity,haven
dark tranquillity,projector
dark tranquillity,the gallery
dark tranquillity,skydancer
dark tranquillity,skydancer of chaos and eternal night
swamp witch,it just feels right
goatsnake,black age blues
goatsnake,i + dog days
goatsnake,1 + dogdays
goatsnake,trampled under hoof
goatsnake,flower of disease
sons of otis,seismic
sons of otis,exiled
sons of otis,x
sons of otis,songs for worship
cold blue mountain,cold blue mountain
galvano,trail of the serpent
galvano,two titans
inter arma,sky burial
inter arma,sundown
sea bastard,split lp
sea bastard,scabrous
sea bastard,sea bastard
smoke or fire,the speakeasy
smoke or fire,the sinking ship
smoke or fire,above the city
smoke or fire,when the battery dies
horseback,a plague of knowing singles splits and rarities 20072012
horseback,new dominions
horseback,half blood
horseback,a throne without a king
horseback,the gorgon tongue impale golden horn forbidden planet
horseback,the invisible mountain
the front bottoms,back on top
the front bottoms,rose
the front bottoms,talon of the hawk
the front bottoms,the front bottoms
carcass,surgical steel complete edition
carcass,surgical steel
carcass,swansong
carcass,wake up and smell the carcass
carcass,heartwork
carcass,necroticism descanting the insalubrious
carcass,symphonies of sickness
big business,battlefields forever
big business,mind the drift
big business,here come the waterworks
big business,head for the shallow
off with their heads,home
off with their heads,in desolation
off with their heads,insubordination fest 08
off with their heads,from the bottom
off with their heads,all things move toward their end
off with their heads,hospitals
lord by fire,lord by fire
sub rosa,more constant than the gods
sub rosa,slings arrows
domovoyd,domovoyd
domovoyd,oh sensibility
teeth of lions rule the divine,rampton
ghold,of ruin
pantera,far beyond driven 20th anniversary edition deluxe
pantera,cowboys from hell deluxe
pantera,reinventing the steel
pantera,the great southern trendkill
pantera,far beyond driven
pantera,vulgar display of power us release
pantera,cowboys from hell
elder,lore
elder,dead roots stirring
elder,reflect
elder,elder
hatebreed,the divinity of purpose
hatebreed,hatebreed
hatebreed,hatebreed napster exlusive
hatebreed,for the lions
hatebreed,supremacy
hatebreed,the rise of brutality
hatebreed,perseverance uk edition with 1 bonus track
decapitated,blood mantra
decapitated,carnival is forever
decapitated,nihility
decapitated,organic hallucinosis
decapitated,the negation
decapitated,winds of creation
intronaut,the direction of last things
intronaut,habitual levitations instilling words with tones
intronaut,valley of smoke
intronaut,prehistoricisms
intronaut,the challenger
intronaut,void
mastodon,once more round the sun
mastodon,the hunter
mastodon,the hunter deluxe
mastodon,crack the skye
mastodon,crack the skye deluxe street date
mastodon,crack the skye intl std preorder
mastodon,call of the mastodon
mastodon,leviathan
mastodon,remission
lazarus blackstar,hymns for the cursed
lazarus blackstar,funeral voyeur
lazarus blackstar,revelations
desaparecidos,payola
desaparecidos,read musicspeak spanish
modern baseball,mobo presents the perfect cast ep feat modern baseball
modern baseball,mobo presents the perfect cast ep featuring modern baseball
modern baseball,youre gonna miss it all
modern baseball,sports
slayer,repentless
slayer,world painted blood
slayer,soundtrack to the apocalypse
slayer,god hates us all
slayer,diabolus in musica
slayer,undisputed attitude
witch mountain,mobile of angels
witch mountain,cauldron of the wild
witch mountain,south of salem
neurosis,honor found in decay
neurosis,given to the rising
neurosis,the eye of every storm
neurosis,official bootleg02stockholmsweden101599
neurosis,neurosis jarboe
neurosis,official bootleg01lyonfrance110299
neurosis,a sun that never sets
neurosis,times of grace
neurosis,through silver in blood
neurosis,enemy of the sun
neurosis,souls at zero
neurosis,pain of mind
behemoth,the satanist
behemoth,abyssus abyssum invocat
behemoth,evangelia heretika the new gospel
behemoth,evangelion
behemoth,ezkaton
freya,paragon of the crucible
freya,all hail the end
freya,lift the curse
freya,as the last light drains
streetlight manifesto,the hands that thieve
streetlight manifesto,99 songs of revolution
streetlight manifesto,somewhere in the between
streetlight manifesto,keasby nights
streetlight manifesto,everything goes numb
old man gloom,the ape of god i
old man gloom,the ape of god ii
old man gloom,no
old man gloom,meditations in b
the great old ones,tekelili
the great old ones,al azif
holy serpent,holy serpent
the body,released from love you whom i have always hated
the body,split lp
the body,i shall die here
the body,christs redeemers
the body,ii
the body,the body
the body,all the waters of the earth turn to blood
derketa,in death we meet
megadeth,super collider
megadeth,countdown to extinction deluxe edition
megadeth,th1rt3en
megadeth,endgame
megadeth,warchest
megadeth,united abominations
megadeth,the system has failed
megadeth,still alive and well
red mountains,down with the sun
high on fire,luminiferous
high on fire,the art of self defense
high on fire,de vermis mysteriis
high on fire,snakes for the divine
high on fire,death is this communion
high on fire,blessed black wings
high on fire,surrounded by thieves
romero,mick y mick
romero,todo de mi
romero,take the potion
romero,romero born again
romero,the awakening
romero,harmonize
romero,cascade
romero,hustle hard never give up
romero,ear candy
romero,romero presents ear candy
romero,un milagro
romero,monte carlo nights vol 2
romero,batacuda
romero,romero
romero,aaaahhhlately
romero,duende
romero,pulse
romero,monte carlo nights
romero,un segundo una vida
yob,clearing the path to ascend
yob,the unreal never lived
yob,the illusion of motion
year of no light,vampyr original motion picture soundtrack
year of no light,nord deluxe edition
year of no light,year of no light thisquietarmy
year of no light,year of no light ausserwelt
cough,ritual abuse
cough,sigillum luciferi
ringworm,stigmatas in the flesh
ringworm,split
ringworm,scars
ringworm,the venomous grand design
ringworm,lindsay lohan raw
ringworm,lindsay lohan iv zoso
ringworm,justice replaced by revenge
ringworm,the promise
ringworm,birth is pain
ringworm,madness of war demo
abominable iron sloth,abominable iron sloth
bongzilla,stashmethods of attainment
bongzilla,apogee
bongzilla,amerijuanican
bongzilla,gateway
bomb the music industry,adults smart shithammered and excited by nothing
bomb the music industry,vacation
bomb the music industry,split
bomb the music industry,scrambles
bomb the music industry,get warmer
bomb the music industry,goodbye cool world
bomb the music industry,album minus band
bomb the music industry,to leave or die in long island
no trigger,tycoon
no trigger,extinction in stereo
no trigger,canyoneer
catch 22,permanent revolution
catch 22,dinosaur sounds
catch 22,washed up and through the ringer
catch 22,alone in a crowd
catch 22,keasbey nights
modest mouse,strangers to ourselves
modest mouse,we were dead before the ship even sank
modest mouse,baron von bullshit rides again
modest mouse,good news for people who love bad news
modest mouse,sad sappy sucker
modest mouse,the moon antarctica
modest mouse,building nothing out of something
modest mouse,the lonesome crowded west
modest mouse,this is a long drive for someone with nothing to think about
less than jake,see the light
less than jake,greeting salutations
less than jake,greetings salutations
less than jake,gnv fla
less than jake,goodbye blue and white
less than jake,in with the out crowd
less than jake,b is for bsides
less than jake,anthem
less than jake,goodbye blue white
less than jake,greased
less than jake,borders boundaries
skeletonwitch,serpents unleashed
skeletonwitch,forever abomination
skeletonwitch,breathing the fire
skeletonwitch,beyond the permafrost
first aid kit,stay gold
first aid kit,the lions roar
first aid kit,the big black and the blue
first aid kit,drunken trees ep
first aid kit,drunken trees
necrophagist,epitaph
necrophagist,onset of putrefaction
defiance ohio,midwestern minutes
defiance ohio,the great depression
defiance ohio,share what ya got
testament,dark roots of thrash
testament,dark roots of earth
testament,the formation of damnation
testament,the very best of testament
testament,first strike still deadly
testament,the gathering
testament,demonic
grave,out of respect for the dead
grave,necropsy the complete demo recordings 19861991
grave,endless procession of souls
grave,burial ground
grave,dominion vii
grave,dominion viii
grave,exhumed a grave collection
grave,exhumed a grave collection 
grave,as rapture comes
grave,fiendish regression
grave,back from the grave
grave,into the grave tremendous pain ep
grave,soulless hating life
grave,soulless rerelease + bonus
grave,soulless
grave,youll never seeand here i diesatisfied ep
dying fetus,reign supreme
dying fetus,history repeats
dying fetus,infatuation with malevolence
dying fetus,purification through violence
dying fetus,descend into depravity
dying fetus,war of attrition
dying fetus,stop at nothing
dying fetus,destroy the opposition
dying fetus,grotesque impalement
dying fetus,killing on adrenaline
blood ceremony,the eldritch dark
blood ceremony,living with the ancients
blood ceremony,blood ceremony
deicide,in the minds of evil
deicide,to hell with god
deicide,till death do us part
deicide,the stench of redemption
deicide,scars of the crucifix
deicide,in torment in hell
deicide,insineratehymn
deicide,when satan lives
deicide,serpents of the light
deicide,once upon the cross
deicide,legion
samsara blues experiment,revelation mystery
samsara blues experiment,long distance trip
horn of the rhino,breed the chosen one
horn of the rhino,summoning deliverance
horn of the rhino,weight of coronation
horn of the rhino,grengus
satans satyrs,dont deliver us
satans satyrs,die screaming
satans satyrs,wild beyond belief
the falcon,unicornography
huata,atavist of mann
huata,open the gates of shambhala
the broadways,broken van
the broadways,broken star
sunn 0,soused
sunn 0,monoliths and dimensions
sunn 0,altar
sunn 0,black one
sunn 0,grimm robe demos
sunn 0,white 2
sunn 0,white 1
sunn 0,flight of the behemoth
khann,erode
khann,tofutopia
entombed,serpent saints the ten amendments
entombed,serpent saints
entombed,unreal estate
entombed,inferno
entombed,morning star
entombed,uprising
entombed,monkey puss
entombed,same difference
entombed,dclxvi to ride shoot straight and speak the truth
entombed,entombed
entombed,to ride shoot straight and speak the truth
entombed,wolverine blues
entombed,wolverine blues full dynamic range edition
entombed,hollowman
entombed,hollowman full dynamic range edition
entombed,clandestine
rwake,xenoglossalgia the last stage of awareness
rwake,rest
rwake,voices of omens
rwake,if you walk before you crawl you crawl before you die
rwake,hell is a door to the sun
vader,death metal three amorphis vader children of bodom
vader,tibi et igni
vader,welcome to the morbid reich
vader,necropolis
vader,xxv
vader,reborn in chaos
slomatics,flooding the weir
slomatics,kalceanna
slomatics,estron
slomatics,a hocht
slomatics,conan vs slomatics
isis,celestial 2013 remaster
isis,temporal
isis,wavering radiant
isis,in the absence of truth
isis,oceanic remixesreinterpretations
isis,panopticon
isis,oceanic
barn owl,v
barn owl,lost in the glare
barn owl,shadowland
barn owl,ancestral star
barn owl,from our mouths a perpetual light
metallica,metallica through the never music from the motion picture
metallica,death magnetic
metallica,and justice for all
metallica,st anger
metallica,sm
metallica,garage inc
metallica,reload
metallica,load
metallica,metallica
metallica,master of puppets
metallica,ride the lightning
metallica,kill em all
pallbearer,foundations of burden
pallbearer,sorrow and extinction
all out war,dying gods
all out war,truth in the age of lies
all out war,into the killing fields
all out war,assassins in the house of god
all out war,condemned to suffer
all out war,for those who were crucified
morbid angel,illud divinum insanus
morbid angel,heretic
morbid angel,gateways to anihilation
morbid angel,formulas fatal to the flesh
morbid angel,entangled in chaos
morbid angel,domination
morbid angel,covenant full dynamic range edition
morbid angel,covenant
morbid angel,abominations of desolation
morbid angel,blessed are the sick
morbid angel,altars of madness
morbid angel,juvenilia
16,deep cuts from dark clouds
16,blaze of incompetence
16,the first trimester
16,curves that kick
16,bridges to burn
16,zoloft smile
16,drop out
anguish,mountain jewel
anguish,through the archdemons head
demon lung,a dracula
demon lung,the hundredth name
demon lung,pareidolia
kreator,dying alive
kreator,phantom antichrist
kreator,hordes of chaos
kreator,outcast cause for conflict
kreator,tribute to kreator
kreator,19851992 past life trauma
kreator,terrible certainty
kreator,terrible certainty bonus track edition
kreator,endorama
kreator,outcast
eyehategod,eyehategod
eyehategod,preaching the endtime message
eyehategod,confederacy of ruined lives
eyehategod,southern discomfort demos rarities
eyehategod,dopesick
bolt thrower,those once loyal
bolt thrower,honour valour pride
bolt thrower,mercenary
bolt thrower,who dares wins
bolt thrower,for victory
bolt thrower,the ivth crusade
bolt thrower,war master
bolt thrower,realm of chaos
mournful congregation,concrescence of the sophia
mournful congregation,tears from a grieving heart
mournful congregation,the book of kings
mournful congregation,the june frost
the holy mess,comfort in the discord
the holy mess,cande ru las degas
the holy mess,the holy mess
lamb of god,vii sturm und drang
lamb of god,vii sturm und drang deluxe
lamb of god,as the palaces burn 10th anniversary edition
lamb of god,resolution exclusive edition
lamb of god,resolution
lamb of god,wrath
lamb of god,sacrament
lamb of god,killadelphia
lamb of god,ashes of the wake
lamb of god,as the palaces burn
baroness,purple
baroness,yellow green
baroness,blue record
baroness,the red album
baroness,a grey sigh in a flower husk
get dead,bad news
get dead,tall cans loose ends
get dead,tall cans and loose ends
get dead,get dead
get dead,letters home
demonic death judge,skygods
demonic death judge,the descent
monolord,vænir
monolord,empress rising
gwar,battle maximus
gwar,bloody pit of horror
gwar,let there be gwar
gwar,slaves going single
gwar,lust in space
gwar,beyond hell
gwar,war party
gwar,violence has arrived
gwar,we kill everything uncensored
gwar,carnival of chaos
gwar,rendezvous with raganrock
tobacco,ultima ii massage
tobacco,la uti
tobacco,maniac meat
tobacco,the allegheny white fish tapes
tobacco,fucked up friends
weezer,everything will be alright in the end
weezer,death to false metal
weezer,hurley
weezer,raditude deluxe
weezer,itunes pass the weezer raditude club week 4
weezer,raditude
weezer,weezer red album
you blew it,keep doing what youre doing
you blew it,the past in present
you blew it,grow up dude
black land,extreme heavy psych
orange goblin,back from the abyss
orange goblin,a eulogy for the damned
orange goblin,healing through fire
orange goblin,thieving from the house of god
orange goblin,coup de grace
orange goblin,the big black
orange goblin,time travelling blues
orange goblin,frequencies from planet ten
orange goblin,frequencies from planet 10
amon amarth,deceiver of the gods
amon amarth,surtur rising
amon amarth,vs the world
amon amarth,twilight of the thunder god
amon amarth,with oden on our side
amon amarth,fate of norns
amon amarth,versus the world
amon amarth,the crusher
amon amarth,the avenger
immolation,shadows in the light
immolation,kingdom of conspiracy
immolation,majesty and decay
immolation,hope and horror
immolation,harnessing ruin
immolation,unholy cult
bastard of the skies,ichor ichor
nile,what should not be unearthed
nile,at the gate of sethu
nile,those whom the gods detest
nile,ithyphallic
nile,annihilation of the wicked
nile,in their darkened shrines
nile,black seeds of vengence
dismember,dismember
dismember,the god that never was
dismember,death metal
dismember,where ironcrosses grow
dismember,pieces
dismember,hate campaign
dismember,massive killing capacity
dismember,indecent and obscene
dismember,indecent obscene
dismember,like an everflowing stream
dirge,hyperion
dirge,elysian magnetic field
dirge,wings of lead over dormant seas
pelican,arktika
pelican,forever becoming
pelican,what we all come to need
pelican,city of echoes
pelican,fire in our throats will beckon the thaw
pelican,the fire in our throats will beckon the thaw
pelican,march into the sea ep
pelican,australasia
rosetta,city of ships rosetta
rosetta,a determinism of morality
rosetta,three way split w east of the wall year of no light
rosetta,wakelift
rosetta,the galilean satellites
bong,stoner rock
bong,selftitled
bong,manayoodsushai
bong,beyond ancient space
bloodsucking zombies from outer space,mörder blues 2
bloodsucking zombies from outer space,toxic terror trax
bloodsucking zombies from outer space,decade of decay the gravest hits of bzfos
bloodsucking zombies from outer space,mörder blues
annihilator,suicide society
annihilator,suicide society deluxe edition
annihilator,feast
annihilator,all for you
annihilator,schizo deluxe
annihilator,annihilator
annihilator,criteria for a black widow
annihilator,king of the kill
annihilator,remains
annihilator,waking the fury
annihilator,metal
annihilator,the best of annihilator
annihilator,carnival diablos
amenra,afterlife
amenra,mass i
amenra,mass ii
amenra,mass iii
amenra,mass iiii
overkill,white devil armory
overkill,the electric age deluxe edition
overkill,the electric age tour edition
overkill,the electric age ltd tour edition
overkill,the electric age
overkill,ironbound
asva,empires should burn
asva,futurists against the ocean
acid king,the early years
acid king,iii
acid king,busse woods
acid king,zoroaster
obituary,frozen in time
obituary,dead
obituary,back from the dead
pyramido,saga
pyramido,split
pyramido,salt
lemuria,the distance is so big
lemuria,pebble
lemuria,the first collection 20052006
lemuria,get better
the lawrence arms,metropole deluxe edition
the lawrence arms,oh calcutta
the lawrence arms,cocktails dreams
the lawrence arms,the greatest story ever told
the lawrence arms,apathy and exhaustion
the lawrence arms,present day memories
the lawrence arms,ghost stories
the lawrence arms,a guided tour of chicago
cormorant,earth diver
cormorant,dwellings
cormorant,metazoa
graveyard,innocence decadence
graveyard,lights out
graveyard,hisingen blues
graveyard,graveyard
floor,oblation deluxe
floor,oblation
floor,below beyond
floor,dove
floor,fuck you for now
floor,its not the same
floor,riddim of silence
floor,saturnine and tears
floor,selftitled + outtakes
floor,personnel
floor,free range
the sword,high country
the sword,apocryphon
the sword,warp riders
the sword,gods of the earth
the sword,age of winters
pentagram,curious volume
pentagram,last rites
pentagram,when the sreams come
pentagram,first daze here too
pentagram,show em how
pentagram,a keg full of dynamite
pentagram,turn to stone
pentagram,first daze here
pentagram,subbasement
pentagram,review your choices
ufomammut,ecate
ufomammut,oro opus primum
ufomammut,idolum standard edition
ufomammut,supernaturals record one standard edition
ufomammut,lucifer songs standard edition
ufomammut,snailking
conan,blood eagle
conan,monnos
conan,conan vs slomatics
